speaker-name,start-time,end-time,text,,translation
Alicia,00:00:00.01,00:00:02.00,Pourquoi Bambi ?,,Why Bambi?
Gaëtane,00:00:02.00,00:00:15.09,"Bambi?  Ah oui, c'est parce que chez Nell, il y avait à l'époque, il y avait...",,"Bambi? Oh yeah, that's because at Nell's, there was at the time, there was..."
Speaker 1,00:00:15.11,00:00:30.07,On joué avec Andréa et Lorne.  Lorne il été handicapés. Ils vivaient sur le tapis. Et il y avait Rudolph the Red Nosed Reindeer.,,We played with Andrea and Lorne. Lorne was handicapped. He lived on the carpet. And there was Rudolph the Red Nosed Reindeer.
Hélène,00:00:30.07,00:00:32.00,Le renne au nez rouge.,,The red-nosed reindeer.
Gaëtane,00:00:32.00,00:01:00.20,"Le petit renne au nez rouge. Et alors, Lorne il étaient Santa Clause. Et Andréa était Rudolph, et moi j'étais Bambi. Et quand je suis arrivé à l'école, ils ont dit mais Gaëtane, c'est un nom qu'on pourra jamais prononcer. Il faut que tu nous trouve autre chose. Alors j'ai dit Bon, Bambi, voilà.",,"The little reindeer with the red nose. And then, Lorne he was Santa Clause. And Andrea was Rudolph, and I was Bambi. And when I got to school, they said but Gaëtane, that's a name we'll never be able to pronounce. You have to find us something else. So I said Okay, Bambi, that's it."
Alicia,00:00:55.00,00:01:12.19,Sa me semble [propice]...Le nom Bambi pour une jeune fille qui a été envoyée loin de sa famille. C'est comme l'histoire de Bambi.,,It seems [appropriate] to me...The name Bambi for a young girl who was sent away from her family. It's like the story of Bambi.
Gaëtane,00:01:12.19,00:01:26.00,Peut-être.  Et Bambi était devenu... Bambi était devenu... ,,Maybe. And Bambi had become... Bambi had become...
Hélène,00:01:26.00,00:01:27.20,Un beau cerf.,,A beautiful stag.
Gaëtane,00:01:27.20,00:01:29.30,Un beau cerf très sage.,,"A beautiful, very wise deer."
Hélène,00:01:29.50,00:01:34.35,"C'est ça.  (laughs) Tres sage, on peu pas dire.",,"That's it. (laughs) Very wise, you can't say."
Gaëtane,00:01:34.35,00:01:36.15,Oui oui.,,Yes yes...
Hélène,00:01:36.15,00:01:37.45,Mais c'était le roi.,,But he was the king.
Speaker 1,00:01:37.45,00:01:43.05,Il était connu pour sa sagesse.  Donc.,,He was known for his wisdom. So.
